study_hours,days_before_exam,attendance_percentage,pass
2.94,6,20,0
1.54,5,17,0
1.64,4,33,0
2.39,4,47,0
1.19,5,19,0
2.05,1,49,0
3.7,1,71,1
1.18,4,77,0
0.4,2,54,0
1.85,6,79,0
2.52,6,68,0
2.95,4,20,0
1.97,4,91,1
2.36,2,74,0
2.16,5,86,1
2.06,1,68,0
1.06,2,86,0
3.98,5,40,1
0.45,4,10,0
0.56,7,98,1
1.93,5,66,0
0.99,1,27,0
3.13,3,57,1
0.73,5,77,0
1.16,1,70,0
1.82,4,23,0
1.23,1,44,0
0.19,5,64,0
0.38,1,57,0
0.78,4,53,0
3.57,6,72,1
0.76,6,48,0
0.64,5,43,0
3.66,3,32,1
0.27,7,21,0
0.72,2,54,0
0.27,3,49,0
1.58,7,26,0
0.61,1,92,1
3.71,4,67,1
0.52,5,37,0
0.82,5,95,1
1.34,1,85,0
3.41,6,77,1
1.72,7,24,0
2.45,2,78,0
1.56,1,90,1
2.15,5,75,0
2.73,6,82,1
0.56,7,92,1
0.62,5,68,0
2.86,4,41,0
3.26,5,22,1
1.94,2,68,0
2.69,6,80,0
1.35,7,36,0
1.99,7,26,0
1.01,7,25,0
2.73,2,57,0
3.95,2,71,1
2.19,6,90,1
1.93,5,83,1
2.59,5,82,1
1.25,4,48,0
3.05,5,34,1
1.56,4,99,1
3.39,4,60,1
1.13,3,65,0
3.83,6,34,1
3.93,4,21,1
1.76,5,89,1
1.16,2,90,0
2.14,2,52,0
0.84,5,35,0
2.88,5,60,0
1.46,7,44,0
3.75,7,55,1
1.37,6,44,0
3.34,6,30,1
2.61,1,18,0
1.17,7,40,0
1.92,1,14,0
0.1,6,80,0
0.26,4,50,0
0.89,4,94,1
1.05,6,37,0
3.21,3,11,1
1.18,5,36,0
2.02,2,28,0
2.46,3,27,0
3.77,5,11,1
3.7,2,74,1
3.81,1,87,1
3.39,6,13,1
3.25,6,52,1
0.17,7,68,0
1.31,5,61,0
3.86,3,69,1
3.37,5,94,1
1.68,1,80,0
1.3,2,31,0
1.13,3,41,0
2.27,3,96,1
0.42,6,67,0
2.18,1,29,0
2.68,5,73,0
2.44,5,87,1
1.38,6,79,0
2.84,1,56,0
0.48,4,44,0
0.99,4,77,0
1.9,7,91,1
0.11,6,86,0
2.21,4,96,1
0.58,4,81,0
2.9,2,73,0
3.11,1,55,1
2.71,4,31,0
2.26,1,95,1
3.02,7,30,1
1.4,1,75,0
3.67,5,85,1
3.33,5,93,1
3.26,1,24,1
0.55,5,80,0
3.23,6,69,1
3.03,6,99,1
2.31,2,39,0
3.74,2,27,1
2.43,3,86,1
3.3,1,66,1
1.38,1,53,0
1.46,2,90,0
2.49,5,56,0
1.91,2,87,1
3.79,6,49,1
1.17,7,32,0
2.66,3,88,1
0.23,2,99,1
2.81,2,45,0
0.43,1,33,0
2.91,3,92,1
1.14,7,18,0
3.19,6,63,1
3.6,2,37,1
2.57,3,96,1
0.21,5,11,0
3.43,5,53,1
2.83,2,11,0
3.93,4,96,1
2.73,4,76,0
3.87,6,75,1
2.05,6,77,0
0.66,6,95,1
2.45,6,33,0
1.35,7,58,0
2.79,2,57,0
3.42,5,70,1
3.66,6,86,1
0.37,3,83,0
1.42,2,86,0
1.94,4,50,0
3.24,7,79,1
0.41,7,56,0
3.45,1,72,1
3.66,5,90,1
0.25,5,77,0
0.67,2,72,0
0.37,5,46,0
0.76,2,83,0
3.35,4,81,1
3.03,2,27,1
1.26,1,10,0
0.8,4,22,0
1.36,4,33,0
3.11,2,39,1
1.4,1,70,0
0.32,3,58,0
3.45,2,75,1
3.77,5,89,1
1.72,7,15,0
0.88,2,77,0
0.16,7,94,1
2.57,5,77,0
3.95,1,61,1
0.92,2,69,0
2.93,7,12,0
3.9,4,73,1
0.15,1,27,0
0.69,7,55,0
3.51,7,23,1
2.56,3,40,0
0.5,2,87,0
1.24,7,68,0
2.49,6,31,0
2.36,5,15,0
1.45,6,19,0
3.76,5,17,1
2.88,6,26,0
0.34,4,42,0
1.99,6,84,1
3.47,6,10,1
0.41,1,89,0
1.33,7,72,0
2.8,3,10,0
1.59,1,52,0
0.24,2,89,0
2.83,5,27,0
1.59,1,73,0
1.37,2,57,0
3.17,1,53,1
0.27,1,29,0
1.95,7,86,1
2.34,3,83,1
3.59,7,44,1
1.72,6,13,0
3.27,2,83,1
3.88,4,90,1
2.81,6,50,0
0.29,6,76,0
3.16,3,98,1
3.02,1,87,1
1.44,4,37,0
2.89,5,22,0
1.21,7,18,0
1.95,5,77,0
1.92,7,67,0
3.42,6,92,1
3.54,4,21,1
2.39,3,47,0
2.83,1,47,0
2.09,5,28,0
2.43,5,59,0
3.7,4,52,1
3.21,6,47,1
3.07,1,78,1
3.96,6,20,1
2.82,5,35,0
2.0,4,53,0
1.41,6,89,0
0.69,2,12,0
0.16,2,33,0
1.97,4,89,1
1.29,1,21,0
3.59,3,53,1
2.22,4,12,0
1.39,4,15,0
1.67,1,84,1
2.99,3,52,0
2.29,4,64,0
0.95,1,19,0
2.85,1,26,0
2.15,6,23,0
1.41,2,23,0
1.82,4,90,1
1.54,6,73,0
2.03,5,56,0
2.51,2,91,1
2.69,1,17,0
0.49,3,59,0
2.91,7,56,0
0.63,6,27,0
1.52,7,74,0
0.44,7,94,1
0.44,6,67,0
2.31,3,59,0
3.15,4,31,1
0.52,7,64,0
3.61,5,10,1
1.24,6,35,0
1.84,4,63,0
2.64,3,82,1
1.39,6,17,0
1.39,7,28,0
3.16,3,97,1
2.13,6,49,0
3.55,2,84,1
0.87,1,43,0
2.99,2,34,0
3.4,6,72,1
3.39,6,95,1
0.33,7,16,0
3.52,6,21,1
2.94,2,17,0
2.51,2,60,0
1.16,5,27,0
2.92,7,85,1
3.15,6,32,1
2.73,3,74,0
3.65,3,29,1
2.99,2,61,0
3.15,7,79,1
1.23,3,19,0
1.59,2,60,0
0.72,3,57,0
1.51,4,69,0
1.42,4,69,0
3.95,6,89,1
1.55,5,21,0
3.37,6,76,1
0.99,6,93,1
1.72,6,97,1
1.97,5,42,0
2.8,5,98,1
1.67,7,57,0
1.26,1,49,0
2.12,6,81,1
2.58,5,19,0
2.25,4,99,1
0.47,2,71,0
3.75,2,17,1
3.9,2,36,1
0.23,2,39,0
3.96,3,30,1
3.71,7,72,1
3.36,2,80,1
0.2,5,49,0
1.48,3,68,0
3.18,4,89,1
2.82,7,89,1
1.25,3,68,0
1.3,4,53,0
0.54,4,88,0
2.13,7,47,0
1.26,2,29,0
0.26,5,27,0
3.44,3,12,1
2.5,6,91,1
2.76,2,51,0
3.48,4,27,1
0.29,7,35,0
1.23,5,92,1
2.77,6,18,0
2.64,7,33,0
2.96,6,37,0
0.6,4,73,0
2.06,6,59,0
2.58,7,49,0
3.36,2,96,1
0.46,6,27,0
2.79,6,59,0
0.75,6,47,0
0.23,1,93,1
0.89,5,41,0
0.11,3,70,0
1.52,1,95,1
3.45,6,80,1
0.48,3,76,0
0.58,7,61,0
0.26,3,98,1
2.38,2,35,0
3.06,1,75,1
1.15,6,54,0
2.84,2,19,0
2.32,3,54,0
3.98,2,78,1
1.02,4,52,0
3.66,2,79,1
0.34,2,19,0
1.63,5,74,0
2.6,7,51,0
3.78,6,56,1
3.61,5,50,1
2.09,3,38,0
3.3,4,49,1
2.65,3,36,0
2.82,3,24,0
0.85,5,16,0
3.64,1,87,1
0.16,2,77,0
3.8,3,13,1
1.32,4,80,0
0.65,7,53,0
3.25,7,19,1
0.84,6,72,0
1.17,4,32,0
0.65,1,16,0
1.09,2,62,0
0.59,6,49,0
2.47,3,18,0
2.06,2,54,0
2.51,1,33,0
3.36,5,12,1
3.8,6,10,1
1.61,6,51,0
2.27,7,16,0
1.01,6,81,0
3.92,6,40,1
1.82,6,74,0
2.16,2,92,1
0.26,7,11,0
3.21,7,18,1
3.4,1,50,1
0.76,4,60,0
3.37,2,99,1
2.12,7,21,0
2.91,7,92,1
3.18,7,11,1
0.78,4,95,1
0.15,1,46,0
0.9,3,23,0
2.09,6,40,0
0.55,7,64,0
2.47,7,21,0
3.72,4,86,1
3.75,6,34,1
0.14,5,46,0
1.36,5,94,1
1.9,4,45,0
0.26,1,22,0
2.34,5,56,0
3.24,3,91,1
3.63,6,90,1
0.54,3,99,1
3.3,5,16,1
2.43,4,42,0
1.77,3,69,0
0.46,2,35,0
0.58,5,92,1
1.99,2,97,1
1.14,2,25,0
3.96,2,25,1
1.73,6,77,0
0.85,7,90,0
2.45,1,71,0
0.2,4,62,0
3.8,1,51,1
0.67,1,43,0
3.59,5,89,1
2.28,1,84,1
0.46,3,24,0
2.97,5,100,1
1.27,4,67,0
2.41,6,35,0
0.22,3,56,0
0.99,5,34,0
2.59,2,68,0
0.47,2,41,0
3.83,5,27,1
1.19,1,58,0
0.84,2,38,0
3.54,7,27,1
3.59,2,65,1
0.52,6,18,0
4.0,3,27,1
1.48,3,16,0
3.81,3,65,1
3.03,5,26,1
0.38,2,33,0
2.25,5,64,0
0.27,5,84,0
2.82,2,75,0
1.1,5,19,0
3.08,1,56,1
1.05,1,62,0
2.32,3,67,0
1.74,2,49,0
1.2,1,81,0
0.94,1,97,1
2.32,7,94,1
0.29,1,83,0
1.11,1,26,0
0.1,6,87,0
3.86,6,73,1
3.92,4,46,1
0.96,1,20,0
3.33,5,54,1
0.51,6,10,0
2.71,7,18,0
1.4,7,74,0
1.61,7,69,0
2.36,1,65,0
1.61,6,24,0
0.97,6,37,0
1.13,5,15,0
0.87,4,29,0
1.71,1,22,0
2.73,2,24,0
2.75,6,88,1
1.91,2,24,0
1.15,1,11,0
3.22,4,39,1
3.61,7,27,1
1.83,4,35,0
3.92,3,69,1
2.34,3,84,1
0.68,4,23,0
2.57,7,63,0
3.62,3,56,1
0.92,1,99,1
2.84,5,43,0
2.67,2,37,0
1.77,6,56,0
2.81,5,52,0
0.15,4,40,0
0.83,7,58,0
3.48,3,62,1
1.92,5,66,0
1.92,2,16,0
2.75,2,35,0
3.49,2,24,1
3.73,4,16,1
1.38,4,18,0
1.39,1,98,1
2.52,4,76,0
2.53,5,64,0
2.15,6,41,0
0.36,7,62,0
3.58,6,16,1
2.0,1,53,0
1.3,6,21,0
3.35,4,62,1
2.29,6,61,0
2.05,7,56,0
1.85,6,99,1
3.61,2,88,1
2.07,1,36,0
2.86,5,23,0
1.73,6,71,0
0.39,2,81,0
3.61,4,59,1
1.94,6,79,0
1.26,7,18,0
2.9,6,29,0
0.64,4,63,0
0.55,3,39,0
0.56,5,25,0
2.85,5,73,0
3.01,6,16,1
1.95,3,79,0
3.26,2,36,1
3.15,5,96,1
0.59,3,34,0
3.64,1,63,1
1.6,3,67,0
0.53,2,36,0
1.57,6,92,1
1.15,4,54,0
3.77,7,83,1
2.86,4,78,0
0.12,2,35,0
3.26,1,75,1
0.58,7,75,0
0.91,2,11,0
1.6,3,76,0
1.35,1,26,0
1.95,5,13,0
2.08,6,64,0
0.45,2,77,0
1.22,1,98,1
0.37,7,85,0
0.78,2,31,0
2.87,5,44,0
3.42,3,28,1
1.39,1,83,0
0.8,5,93,1
2.97,2,39,0
0.37,1,50,0
0.57,6,43,0
2.72,2,86,1
2.48,1,91,1
0.64,2,32,0
0.37,6,42,0
0.13,1,52,0
0.54,2,51,0
3.89,7,23,1
1.24,4,39,0
1.11,5,35,0
3.93,5,28,1
1.78,4,35,0
3.04,6,10,1
3.98,4,84,1
0.17,5,93,1
0.44,1,68,0
2.78,4,36,0
1.26,3,33,0
3.65,3,68,1
3.67,5,43,1
2.36,7,66,0
3.01,7,20,1
2.18,3,91,1
3.28,2,22,1
3.64,6,18,1
1.53,2,51,0
0.9,6,27,0
1.01,3,68,0
1.77,2,34,0
2.72,4,85,1
2.43,5,53,0
3.12,7,68,1
0.61,3,63,0
2.65,2,42,0
2.19,6,75,0
3.5,3,25,1
3.75,7,88,1
3.79,3,30,1
3.29,7,52,1
3.78,6,11,1
2.33,6,60,0
1.73,7,32,0
3.67,7,61,1
3.63,4,58,1
0.91,3,98,1
3.65,6,17,1
3.72,3,21,1
2.92,3,87,1
1.74,7,23,0
0.17,5,72,0
2.67,2,88,1
2.29,2,66,0
3.33,4,28,1
1.01,7,36,0
3.1,7,13,1
2.69,5,59,0
0.73,6,27,0
2.05,7,59,0
2.87,2,32,0
2.82,6,74,0
1.43,7,22,0
1.22,7,45,0
1.13,2,43,0
0.11,6,82,0
2.97,6,19,0
1.36,3,99,1
3.25,1,14,1
1.22,1,82,0
2.94,3,50,0
0.15,5,42,0
1.98,3,11,0
3.25,1,56,1
2.32,7,39,0
0.76,5,92,1
2.52,2,54,0
2.28,7,20,0
3.24,5,51,1
3.59,6,42,1
1.23,3,51,0
3.59,2,88,1
0.43,1,14,0
0.25,5,61,0
0.13,2,12,0
0.51,3,36,0
2.19,3,39,0
1.21,6,40,0
3.4,3,15,1
3.54,6,18,1
3.06,3,97,1
2.71,3,48,0
0.84,1,54,0
0.75,1,64,0
2.1,3,89,1
1.2,1,39,0
0.3,6,69,0
3.2,7,21,1
2.83,3,39,0
2.1,4,84,1
1.82,6,27,0
0.91,5,32,0
3.59,4,76,1
0.92,7,26,0
1.76,2,79,0
0.25,4,24,0
1.42,2,89,0
0.18,3,45,0
0.47,4,84,0
0.46,6,82,0
1.7,2,90,1
1.27,5,38,0
2.91,3,98,1
3.38,1,49,1
1.53,6,55,0
2.5,4,39,0
3.01,6,48,1
1.01,2,84,0
1.74,7,46,0
3.44,6,100,1
3.64,1,25,1
0.74,2,65,0
2.53,4,68,0
0.8,3,90,0
3.43,7,23,1
3.68,7,97,1
1.8,1,68,0
0.63,3,99,1
