study_hours,days_before_exam,attendance_percentage,pass
8.0,3,65,1
8.24,3,64,1
8.03,7,69,1
6.1,7,54,0
6.12,3,26,0
3.57,6,45,0
7.92,7,42,1
0.99,4,67,0
1.71,3,93,0
2.62,2,95,1
5.56,5,49,0
7.05,4,41,1
9.78,3,74,1
7.21,5,99,1
3.12,5,14,0
7.9,3,73,1
5.91,5,64,1
3.94,2,53,0
7.58,5,87,1
7.82,2,63,1
1.02,2,17,0
3.05,7,72,0
2.76,3,41,0
1.3,7,86,0
2.27,7,20,0
4.68,1,19,0
0.86,6,64,0
9.42,6,15,1
3.86,4,85,0
2.24,2,53,0
3.46,7,21,0
7.22,1,30,0
5.2,3,71,1
1.42,4,29,0
0.69,2,27,0
6.33,3,21,0
6.38,1,51,0
4.74,5,65,0
1.5,4,98,0
7.0,5,95,1
5.1,5,88,1
6.37,2,84,1
9.17,3,37,1
7.97,6,23,0
4.3,3,58,0
8.83,5,97,1
8.82,6,15,1
4.12,7,65,0
9.29,5,12,1
8.1,4,42,1
4.1,4,69,0
0.9,1,59,0
3.77,3,99,1
2.24,4,60,0
4.1,4,28,0
1.94,6,98,0
5.55,3,92,1
2.55,1,99,1
7.15,3,86,1
2.76,4,36,0
6.45,2,93,1
4.27,3,64,0
2.73,7,95,1
7.15,1,24,0
9.65,4,49,1
8.08,4,28,0
5.07,3,68,1
2.26,4,53,0
3.42,4,69,0
1.79,3,63,0
3.16,1,37,0
8.03,5,100,1
1.42,2,17,0
5.15,1,54,0
9.63,5,64,1
9.16,4,68,1
7.62,6,40,1
3.72,5,34,0
4.01,4,77,0
3.17,6,88,0
4.91,6,48,0
3.33,7,31,0
6.57,5,80,1
2.11,7,65,0
4.05,2,24,0
8.44,2,62,1
1.24,6,69,0
9.01,1,87,1
4.17,1,77,0
9.2,1,71,1
7.87,5,73,1
5.17,3,13,0
0.93,1,66,0
6.6,2,21,0
3.14,4,89,0
1.8,4,18,0
8.61,3,61,1
8.85,5,22,1
4.01,1,49,0
6.11,4,65,1
9.96,1,87,1
0.54,5,59,0
7.52,2,30,0
6.65,6,55,0
5.43,2,17,0
3.79,4,64,0
3.85,7,78,0
9.06,4,70,1
2.99,3,22,0
7.61,6,30,0
8.36,7,58,1
5.7,7,65,1
3.73,1,38,0
4.99,4,93,1
5.01,7,76,1
6.65,3,46,0
9.17,7,78,1
7.81,1,24,0
2.74,4,16,0
4.85,7,24,0
1.92,2,51,0
1.88,5,48,0
6.41,7,77,1
3.84,5,19,0
4.93,7,73,0
3.81,5,57,0
4.35,2,15,0
3.18,4,29,0
7.16,2,69,1
3.76,5,93,1
7.5,1,24,0
6.99,5,51,0
2.95,4,95,1
2.11,2,59,0
3.84,4,55,0
9.9,6,54,1
7.81,3,24,0
3.96,7,89,0
1.39,2,75,0
4.09,5,32,0
4.24,7,38,0
7.78,4,95,1
6.76,5,15,0
2.21,1,68,0
9.21,1,64,1
4.12,6,42,0
9.77,5,78,1
7.22,1,11,0
6.48,4,19,0
5.36,6,18,0
2.82,3,96,1
7.71,7,47,1
9.12,3,57,1
5.61,1,43,0
8.88,7,31,1
1.31,2,45,0
8.48,7,94,1
7.41,1,47,1
2.57,6,20,0
3.8,7,98,1
6.42,2,76,1
2.58,1,39,0
5.15,6,16,0
7.96,6,78,1
1.27,1,28,0
1.67,5,69,0
1.94,1,28,0
4.85,6,80,0
4.8,3,86,0
9.2,7,59,1
2.52,2,87,0
8.07,5,90,1
6.38,2,62,1
2.36,6,86,0
7.29,3,23,0
8.25,6,25,0
4.48,5,35,0
6.03,6,11,0
2.19,4,40,0
7.42,7,65,1
9.19,5,57,1
2.31,6,48,0
8.02,6,100,1
3.99,3,100,1
2.61,7,82,0
8.86,5,70,1
2.31,6,30,0
8.61,5,48,1
1.57,4,39,0
0.67,7,88,0
7.53,3,34,1
9.95,4,46,1
1.2,2,87,0
0.67,2,11,0
1.41,2,62,0
9.84,5,38,1
8.61,6,76,1
3.19,4,73,0
9.43,4,52,1
9.81,3,87,1
5.48,6,60,0
8.98,4,77,1
7.05,6,86,1
5.56,7,31,0
7.85,4,65,1
7.97,3,61,1
2.59,1,23,0
0.75,3,19,0
4.54,7,92,1
2.11,6,70,0
8.96,3,30,1
2.83,7,14,0
3.21,6,37,0
6.33,1,100,1
1.6,1,34,0
1.84,4,100,0
7.72,2,93,1
2.21,2,64,0
9.8,5,85,1
7.27,1,40,1
7.39,3,42,1
3.22,4,61,0
1.07,6,34,0
8.89,4,11,1
3.43,3,94,1
3.17,3,93,1
7.63,2,52,1
5.29,2,21,0
1.34,3,44,0
2.12,1,74,0
9.63,5,96,1
8.24,5,13,0
6.28,2,28,0
4.04,1,16,0
8.37,4,94,1
6.25,2,85,1
0.59,6,77,0
5.49,1,89,1
6.91,5,66,1
8.95,5,84,1
9.83,6,42,1
6.77,4,95,1
5.11,6,78,1
5.82,6,68,1
1.28,2,82,0
9.23,1,34,1
3.87,3,60,0
8.66,3,87,1
4.3,2,33,0
3.54,6,48,0
3.32,1,45,0
4.06,1,54,0
7.74,1,97,1
3.27,3,69,0
2.7,7,40,0
4.91,7,71,0
4.06,4,26,0
6.57,1,38,0
4.36,1,46,0
1.06,1,75,0
5.5,1,22,0
5.94,1,57,0
2.76,5,36,0
2.23,4,77,0
2.71,7,69,0
2.77,6,28,0
2.5,1,75,0
4.66,7,20,0
5.43,6,81,1
8.2,6,70,1
1.42,1,44,0
0.87,5,99,0
3.5,7,89,0
7.07,6,62,1
4.48,3,85,0
6.66,1,58,0
2.38,1,80,0
6.88,5,78,1
9.72,4,72,1
7.85,4,96,1
7.68,1,56,1
3.2,7,74,0
9.69,2,18,1
2.39,2,39,0
0.88,1,29,0
7.05,2,73,1
2.43,2,47,0
7.85,3,59,1
8.94,6,48,1
9.03,5,32,1
3.76,2,40,0
9.61,7,14,1
6.4,7,32,0
6.39,4,42,0
5.29,1,100,1
2.25,7,60,0
9.81,4,62,1
5.63,3,76,1
4.01,3,27,0
6.08,6,94,1
3.32,7,93,1
5.08,3,82,1
4.66,6,30,0
4.37,3,31,0
2.34,5,82,0
2.82,1,30,0
5.13,4,75,1
9.06,6,27,1
7.23,5,33,1
6.25,7,55,0
3.43,1,35,0
2.92,1,27,0
7.1,2,79,1
4.85,5,79,0
3.94,3,11,0
1.65,1,77,0
8.24,1,99,1
7.33,1,34,1
4.81,7,74,0
7.77,2,24,0
7.25,6,32,1
7.85,4,49,1
9.29,3,73,1
9.4,7,98,1
5.27,7,51,0
0.54,5,20,0
1.05,3,79,0
6.61,6,53,0
2.58,7,77,0
8.7,1,32,1
8.62,7,37,1
1.01,1,21,0
2.25,5,15,0
3.09,3,53,0
4.87,7,80,0
1.41,7,63,0
4.31,7,70,0
7.17,4,89,1
1.82,6,66,0
3.37,1,50,0
0.59,4,44,0
3.69,4,38,0
7.78,1,52,1
0.5,1,40,0
5.21,7,21,0
2.47,4,92,1
6.38,4,45,0
3.18,5,86,0
3.43,7,47,0
5.23,1,89,1
1.71,2,71,0
8.1,2,21,0
4.2,6,43,0
1.51,7,25,0
2.76,3,38,0
1.33,5,15,0
0.64,1,77,0
7.87,4,72,1
2.42,1,82,0
2.08,4,13,0
6.52,1,43,0
5.26,5,61,1
6.02,3,56,0
6.77,7,87,1
7.93,7,17,0
2.85,3,29,0
7.27,2,81,1
1.19,6,88,0
5.95,6,84,1
4.07,4,37,0
4.07,2,25,0
4.0,7,50,0
5.22,2,97,1
5.81,5,29,0
7.72,1,44,1
5.01,6,100,1
0.85,7,15,0
5.51,4,18,0
7.87,1,96,1
6.74,7,38,0
7.01,5,80,1
0.91,5,94,0
4.1,2,74,0
8.77,4,51,1
0.8,2,57,0
1.08,6,27,0
8.6,5,57,1
2.14,7,17,0
2.2,3,49,0
2.63,2,54,0
3.28,2,86,0
6.18,1,16,0
8.7,6,19,1
9.71,1,38,1
4.46,4,22,0
7.96,6,64,1
2.63,6,75,0
4.17,7,28,0
2.34,5,14,0
4.0,5,23,0
6.38,6,18,0
2.0,3,18,0
5.12,5,63,1
8.59,5,28,1
1.17,2,33,0
3.02,2,75,0
0.62,5,57,0
8.94,1,59,1
9.85,1,60,1
9.21,2,79,1
7.15,6,43,1
5.73,2,46,0
2.44,4,49,0
9.84,7,18,1
8.0,2,75,1
2.81,7,45,0
9.28,2,15,1
4.08,1,53,0
5.9,7,82,1
2.94,7,13,0
1.04,2,55,0
4.73,2,37,0
8.68,5,18,1
1.23,2,82,0
2.51,4,19,0
9.3,6,33,1
6.85,7,79,1
3.26,2,47,0
4.9,3,16,0
7.04,4,85,1
6.82,3,66,1
9.41,7,12,1
1.02,4,78,0
4.12,2,97,1
5.43,3,32,0
2.33,2,15,0
4.59,1,41,0
6.01,4,84,1
2.38,7,96,1
5.68,1,45,0
0.55,3,23,0
5.33,1,37,0
2.54,2,39,0
6.03,1,28,0
5.57,6,18,0
0.73,1,43,0
9.7,2,52,1
1.03,6,90,0
9.68,5,91,1
0.55,2,11,0
3.19,2,71,0
3.49,2,85,0
8.24,7,71,1
4.64,3,43,0
8.94,5,65,1
3.72,4,77,0
8.7,6,17,1
7.49,3,20,0
2.52,6,100,1
6.67,7,22,0
9.39,1,38,1
4.48,3,48,0
3.48,3,99,1
8.91,7,11,1
8.92,4,72,1
8.98,6,21,1
5.88,2,67,1
3.3,1,52,0
2.96,6,59,0
5.28,7,76,1
5.18,2,58,0
9.1,1,78,1
1.78,3,65,0
2.11,4,81,0
3.3,2,72,0
9.71,3,56,1
4.02,6,57,0
3.67,5,66,0
4.16,4,30,0
1.21,2,15,0
4.72,2,98,1
4.79,2,21,0
7.51,6,89,1
7.42,3,94,1
5.99,7,16,0
4.24,7,36,0
2.07,5,21,0
4.56,1,84,0
5.57,1,59,0
7.01,7,18,0
1.76,7,72,0
1.65,2,40,0
8.57,2,93,1
5.3,1,23,0
0.69,6,63,0
3.44,3,83,0
4.91,5,44,0
5.96,6,56,0
9.81,5,59,1
6.03,2,31,0
2.69,4,34,0
9.1,4,95,1
1.2,6,43,0
5.25,7,68,1
9.85,2,53,1
6.51,2,57,0
4.38,2,93,1
4.13,3,88,0
4.15,3,87,0
0.96,1,70,0
9.94,2,53,1
5.62,4,90,1
8.26,7,85,1
1.15,5,42,0
8.22,5,95,1
6.37,4,54,0
7.99,7,31,1
3.85,2,79,0
4.45,3,71,0
1.63,7,19,0
9.89,2,66,1
3.78,3,96,1
6.11,7,52,0
7.82,1,95,1
4.3,2,59,0
7.27,3,65,1
1.91,4,55,0
3.12,6,85,0
6.77,3,63,1
2.97,7,54,0
5.94,7,70,1
4.41,3,34,0
7.31,3,55,1
9.23,5,85,1
2.26,1,74,0
4.18,5,60,0
8.65,3,61,1
3.49,7,71,0
6.29,7,40,0
3.94,4,37,0
4.3,4,69,0
5.01,7,55,0
2.78,7,98,1
2.71,3,26,0
2.31,1,32,0
5.98,7,26,0
5.86,6,81,1
6.99,6,10,0
6.87,2,95,1
5.29,3,39,0
8.28,4,20,0
9.88,3,69,1
1.36,1,90,0
9.03,1,31,1
6.6,5,61,1
9.8,1,15,1
1.73,7,98,0
7.37,4,71,1
7.93,1,37,1
8.06,4,84,1
8.99,4,22,1
3.55,1,32,0
7.28,7,57,1
7.35,6,47,1
3.03,1,44,0
1.58,3,61,0
1.71,6,20,0
2.57,5,18,0
2.06,5,12,0
9.29,2,55,1
0.56,5,44,0
3.75,6,40,0
9.79,4,76,1
1.43,7,74,0
6.88,5,48,0
7.25,5,12,0
9.27,6,60,1
2.03,7,57,0
5.83,7,79,1
1.31,3,85,0
4.91,1,23,0
2.37,2,24,0
5.81,6,72,1
4.8,3,96,1
7.75,4,74,1
3.24,7,53,0
8.7,1,89,1
9.81,5,61,1
9.62,6,55,1
9.69,2,80,1
3.95,4,46,0
7.85,2,15,0
0.52,3,72,0
5.21,4,40,0
5.21,1,89,1
6.4,3,62,1
5.74,4,36,0
7.23,4,36,1
3.13,6,26,0
1.63,5,13,0
1.17,2,32,0
9.55,6,36,1
1.67,4,90,0
2.98,2,41,0
2.92,6,71,0
4.96,7,89,0
5.18,2,38,0
8.11,7,86,1
8.88,7,25,1
3.89,4,50,0
1.28,2,18,0
5.15,3,47,0
5.76,4,42,0
2.11,2,99,1
9.88,4,32,1
7.26,4,54,1
8.17,5,63,1
8.53,7,100,1
5.8,6,51,0
0.92,3,52,0
5.4,5,62,1
6.81,3,36,0
9.0,4,63,1
4.87,1,57,0
1.63,1,47,0
4.44,6,15,0
3.32,3,31,0
3.72,3,20,0
3.19,7,88,0
6.67,7,62,1
8.9,1,93,1
6.55,6,12,0
3.52,6,57,0
6.22,4,19,0
2.04,5,76,0
5.11,4,61,1
6.76,7,100,1
4.55,2,25,0
3.6,4,18,0
8.26,5,29,0
4.07,4,81,0
8.4,4,35,1
4.59,4,47,0
6.0,7,34,0
2.1,6,45,0
5.65,1,62,1
3.0,5,65,0
3.06,7,45,0
8.42,4,61,1
4.14,3,18,0
3.72,2,46,0
5.11,3,27,0
3.84,4,86,0
7.73,5,33,1
7.84,3,76,1
7.98,5,47,1
5.26,7,74,1
4.52,7,99,1
7.17,5,42,1
2.02,7,62,0
8.82,5,22,1
3.75,7,64,0
3.95,4,72,0
5.01,2,69,1
9.26,2,66,1
7.85,3,75,1
0.95,1,29,0
0.93,5,58,0
8.96,4,86,1
2.16,2,26,0
1.17,5,27,0
2.47,3,98,1
0.6,3,43,0
6.82,4,84,1
9.65,1,75,1
2.07,3,13,0
4.29,6,54,0
7.25,1,79,1
4.59,3,52,0
6.14,4,89,1
1.33,6,64,0
7.24,3,79,1
6.42,1,46,0
5.73,4,27,0
3.48,3,76,0
1.42,2,96,0
6.14,3,18,0
5.53,1,19,0
3.68,1,32,0
9.93,5,83,1
6.59,2,49,0
9.57,4,24,1
3.86,4,84,0
0.98,2,70,0
1.34,2,78,0
7.86,1,31,1
3.75,6,54,0
6.71,4,50,0
4.17,3,85,0
1.63,3,43,0
8.19,1,73,1
1.27,7,89,0
4.88,4,15,0
1.35,3,78,0
3.77,1,71,0
5.95,7,43,0
6.63,2,37,0
2.11,4,35,0
4.7,2,33,0
8.55,5,34,1
6.68,6,89,1
9.64,2,100,1
0.59,7,16,0
9.06,7,75,1
9.15,2,37,1
6.29,1,88,1
0.76,2,20,0
1.96,1,65,0
5.87,5,16,0
7.41,1,91,1
2.97,6,82,0
8.42,2,32,1
5.3,5,85,1
8.68,1,50,1
8.97,6,98,1
5.55,4,80,1
4.09,2,41,0
6.33,1,28,0
1.5,6,49,0
3.09,2,32,0
8.02,7,41,1
5.46,4,86,1
5.78,4,80,1
9.34,2,41,1
1.62,4,55,0
2.41,1,88,0
6.63,4,70,1
6.49,5,37,0
2.02,5,61,0
6.19,5,97,1
6.02,2,59,0
9.83,3,51,1
4.81,4,28,0
